year,country,type,latitude,longitude,month,day,elevation,vei,tsu
1887.0,Philippines,Stratovolcano,13.257,123.685,3.0,9.0,2462.0,3.0,0
1888.0,Papua New Guinea,Stratovolcano,-5.519,148.115,3.0,13.0,75.0,2.0,1
1888.0,Japan,Stratovolcano,37.601,140.072,7.0,15.0,1816.0,4.0,0
1889.0,Indonesia,Submarine volcano,3.138,125.491,9.0,6.0,-5.0,2.0,1
1890.0,Indonesia,Stratovolcano,0.32,127.4,6.0,29.0,1357.0,2.0,0
1892.0,Indonesia,Stratovolcano,0.686,99.539,5.0,21.0,2145.0,2.0,0
1892.0,Indonesia,Stratovolcano,3.689,125.447,6.0,7.0,1318.0,3.0,1
1892.0,Tonga,Caldera,-19.75,-175.07,8.0,30.0,515.0,2.0,1
1893.0,Chile,Stratovolcano,-41.33,-72.618,1.0,7.0,1974.0,4.0,0
1893.0,Japan,Stratovolcano,37.735,140.244,6.0,7.0,1949.0,2.0,0
1895.0,Indonesia,Stratovolcano,-8.108,112.922,5.0,22.0,3657.0,2.0,0
1895.0,Papua New Guinea,Stratovolcano,-4.647,145.976,6.0,17.0,1839.0,2.0,0
1895.0,Japan,Shield volcano,31.934,130.862,10.0,16.0,1700.0,2.0,0
1896.0,Japan,Shield volcano,31.934,130.862,3.0,15.0,1700.0,2.0,0
1897.0,Solomon Is.,Stratovolcano,-10.386,165.804,3.0,26.0,796.0,2.0,1
1897.0,Philippines,Stratovolcano,13.257,123.685,5.0,23.0,2462.0,3.0,0
1899.0,Colombia,Stratovolcano,1.5,-76.936,11.0,13.0,4137.0,4.0,0
1900.0,Japan,Complex volcano,36.406,138.523,1.0,22.0,2568.0,2.0,0
1900.0,Japan,Shield volcano,31.934,130.862,2.0,16.0,1700.0,2.0,0
1900.0,Japan,Stratovolcano,37.647,140.281,7.0,17.0,1728.0,2.0,0
1901.0,Indonesia,Stratovolcano,-7.935,112.314,5.0,22.0,1730.0,3.0,0
1902.0,Martinique,Stratovolcano,14.809,-61.166,5.0,5.0,1372.0,4.0,1
